date,customer,product,region,revenue,cost,currency,quantity,payment_status,notes
2024-01-03,Acme Corp,Premium Plan,US,1299.99,723.45,USD,2,paid,
2024-01-05,BetaCo,Basic Plan,EU,849.50,412.30,EUR,3,paid,First time customer
2024-01-08,Delta Inc,Enterprise Plan,APAC,5999.00,2850.00,USD,1,paid,Annual contract
2024-01-12,Gamma LLC,Premium Plan,US,1349.99,789.50,USD,2,paid,
2024-01-15,Acme Corp,Basic Plan,US,949.99,502.30,USD,3,pending,
2024-01-18,Zeta Corp,Premium Plan,US,1399.99,823.45,USD,2,paid,
2024-01-20,BetaCo,Enterprise Plan,EU,5499.00,2675.00,EUR,1,paid,Quarterly payment
2024-01-22,,Basic Plan,LATAM,459.50,289.30,USD,2,failed,Missing customer
2024-01-25,Theta Ltd,Premium Plan,APAC,1199.99,689.50,USD,2,paid,
2024-01-28,Acme Corp,Enterprise Plan,US,6499.00,3120.00,USD,1,paid,Expansion deal
2024-01-30,Iota Inc,Basic Plan,US,449.99,267.80,USD,2,paid,
2024-02-02,BetaCo,Premium Plan,EU,1249.50,689.30,EUR,2,paid,
2024-02-05,Delta Inc,Basic Plan,APAC,789.99,423.50,USD,3,paid,
2024-02-07,Kappa LLC,Enterprise Plan,US,5799.00,2710.00,USD,1,refunded,Customer cancelled
2024-02-10,Acme Corp,Basic Plan,US,899.99,489.30,USD,3,paid,
2024-02-12,Gamma LLC,Premium Plan,US,1399.99,812.45,USD,2,paid,
2024-02-15,Lambda Ltd,Enterprise Plan,EU,6299.00,3010.00,EUR,1,paid,
2024-02-18,BetaCo,Basic Plan,EU,799.50,398.30,EUR,3,paid,
2024-02-20,Delta Inc,Premium Plan,APAC,1099.99,623.50,USD,2,paid,
2024-02-22,,Enterprise Plan,LATAM,4799.00,2390.00,USD,1,pending,Missing customer
2024-02-25,Acme Corp,Premium Plan,US,1299.99,712.45,USD,2,paid,
2024-02-28,Theta Ltd,Basic Plan,APAC,549.99,312.30,USD,2,paid,
2024-03-02,Zeta Corp,Enterprise Plan,US,5999.00,2910.00,USD,1,paid,
2024-03-05,BetaCo,Premium Plan,EU,1199.50,678.30,EUR,2,paid,
2024-03-08,Gamma LLC,Basic Plan,US,799.99,423.50,USD,3,paid,
2024-03-10,Delta Inc,Premium Plan,APAC,1299.99,723.45,USD,2,paid,
2024-03-12,Acme Corp,Enterprise Plan,US,6799.00,3290.00,USD,1,paid,
2024-03-15,Mu Inc,Premium Plan,US,1199.99,689.50,USD,2,paid,New customer
2024-03-18,BetaCo,Basic Plan,EU,749.50,389.30,EUR,3,paid,
2024-03-20,Kappa LLC,Basic Plan,US,499.99,267.80,USD,2,refunded,Quality issues
2024-03-22,Theta Ltd,Enterprise Plan,APAC,5499.00,2675.00,USD,1,paid,
2024-03-25,Acme Corp,Premium Plan,US,1349.99,789.50,USD,2,paid,
2024-03-28,Lambda Ltd,Premium Plan,EU,1299.50,712.30,EUR,2,paid,
2024-03-30,,Basic Plan,LATAM,499.99,278.50,USD,2,failed,
2024-04-02,NuCorp,Premium Plan,US,1299.99,723.45,USD,2,paid,
2024-04-05,BetaCo,Enterprise Plan,EU,5899,2845,EUR,1,paid,Upgrade
2024-04-08,Delta Inc,Basic Plan,APAC,699.99,378.5,USD,3,paid,
2024-04-11,Acme Corp,Premium Plan,US,1379.99,801.3,USD,2,paid,
2024-04-14,Gamma LLC,Enterprise Plan,US,6199,2980,USD,1,paid,
2024-04-17,Zeta Corp,Basic Plan,US,529.99,289.5,USD,2,paid,
2024-04-20,Theta Ltd,Premium Plan,APAC,1249.99,703.45,USD,2,paid,
2024-04-23,Omicron Inc,Basic Plan,EU,459.5,239.3,EUR,2,paid,New European customer
2024-04-26,Acme Corp,Enterprise Plan,US,6899,3345,USD,1,paid,
2024-04-29,BetaCo,Premium Plan,EU,1319.5,745.3,EUR,2,paid,
2024-05-02,Pi LLC,Basic Plan,US,479.99,256.8,USD,2,paid,
2024-05-05,Delta Inc,Premium Plan,APAC,1179.99,659.5,USD,2,paid,
2024-05-08,Kappa LLC,Enterprise Plan,US,5599,2675,USD,1,paid,
2024-05-11,Acme Corp,Basic Plan,US,869.99,467.3,USD,3,paid,
2024-05-14,Gamma LLC,Premium Plan,US,1419.99,834.5,USD,2,paid,
2024-05-17,Lambda Ltd,Basic Plan,EU,779.5,389.3,EUR,3,paid,
2024-05-20,Zeta Corp,Enterprise Plan,US,6299,3050,USD,1,paid,
2024-05-23,BetaCo,Premium Plan,EU,1219.5,698.3,EUR,2,paid,
2024-05-26,Acme Corp,Premium Plan,US,1319.99,745.45,USD,2,paid,
2024-05-29,Theta Ltd,Basic Plan,APAC,579.99,334.5,USD,2,paid,
2024-06-01,Rho Inc,Enterprise Plan,US,5699,2710,USD,1,pending,First order
2024-06-04,Delta Inc,Premium Plan,APAC,1139.99,645.5,USD,2,paid,
2024-06-07,BetaCo,Basic Plan,EU,819.5,412.3,EUR,3,paid,
2024-06-10,Acme Corp,Enterprise Plan,US,7099,3450,USD,1,paid,
2024-06-13,Sigma LLC,Premium Plan,US,1259.99,712.45,USD,2,paid,
2024-06-16,Gamma LLC,Basic Plan,US,779.99,412.5,USD,3,paid,
2024-06-19,Zeta Corp,Premium Plan,US,1419.99,834.5,USD,2,paid,
2024-06-22,Tau Ltd,Enterprise Plan,EU,5999,2890,EUR,1,paid,New enterprise client
2024-06-25,Acme Corp,Basic Plan,US,899.99,478.3,USD,3,paid,
2024-06-28,BetaCo,Premium Plan,EU,1279.5,712.3,EUR,2,paid,
2024-07-01,Upsilon Inc,Basic Plan,US,499.99,267.5,USD,2,paid,
2024-07-04,Delta Inc,Enterprise Plan,APAC,5899,2845,USD,1,paid,
2024-07-07,Theta Ltd,Premium Plan,APAC,1219.99,689.45,USD,2,paid,
2024-07-10,Acme Corp,Premium Plan,US,1369.99,798.3,USD,2,paid,
2024-07-13,Phi LLC,Enterprise Plan,US,6399,3090,USD,1,pending,Waiting approval
2024-07-16,BetaCo,Basic Plan,EU,789.5,389.3,EUR,3,paid,
2024-07-19,Gamma LLC,Premium Plan,US,1379.99,801.45,USD,2,paid,
2024-07-22,Chi Corp,Basic Plan,APAC,519.99,289.5,USD,2,paid,
2024-07-25,Acme Corp,Enterprise Plan,US,6699,3245,USD,1,paid,
2024-07-28,Zeta Corp,Premium Plan,US,1299.99,723.45,USD,2,paid,
2024-07-31,Lambda Ltd,Basic Plan,EU,759.5,378.3,EUR,3,paid,
2024-08-03,Psi Inc,Enterprise Plan,US,6099,2930,USD,1,paid,
2024-08-06,BetaCo,Premium Plan,EU,1259.5,701.3,EUR,2,paid,
2024-08-09,Delta Inc,Basic Plan,APAC,749.99,412.5,USD,3,paid,
2024-08-12,Acme Corp,Premium Plan,US,1339.99,767.45,USD,2,paid,
2024-08-15,Omega Ltd,Enterprise Plan,EU,5699,2730,EUR,1,refunded,Contract dispute
2024-08-18,Gamma LLC,Basic Plan,US,819.99,445.3,USD,3,paid,
2024-08-21,Theta Ltd,Premium Plan,APAC,1189.99,667.5,USD,2,paid,
2024-08-24,BetaCo,Enterprise Plan,EU,6199,2980,EUR,1,paid,
2024-08-27,Acme Corp,Basic Plan,US,879.99,467.8,USD,3,paid,
2024-08-30,Zeta Corp,Premium Plan,US,1359.99,789.45,USD,2,paid,
2024-09-02,AlphaCorp,Enterprise Plan,US,5899,2810,USD,1,paid,Returning customer
2024-09-05,BetaCo,Premium Plan,EU,1299.5,723.3,EUR,2,paid,
2024-09-08,Delta Inc,Premium Plan,APAC,1319.99,734.5,USD,2,paid,
